beta2,Ehfb,Ehfb normalized
-1.0,-1743.1137265487005,63.859252891503274
-0.99,-1744.4788147775744,62.49416466262937
-0.98,-1745.879171234917,61.09380820528668
-0.97,-1747.2799151131806,59.693064327023194
-0.96,-1748.672354152029,58.30062528817484
-0.95,-1750.0445351572644,56.92844428293938
-0.94,-1751.394542637786,55.578436802417855
-0.93,-1752.7243552650996,54.24862417510417
-0.92,-1754.0381840216314,52.93479541857232
-0.91,-1755.3386313620058,51.634348078197945
-0.9,-1756.6411749399763,50.33180450022746
-0.89,-1757.9392439121054,49.033735528098305
-0.88,-1759.2292602302305,47.74371920997328
-0.87,-1760.5094188787143,46.46356056148943
-0.86,-1761.7712231505297,45.201756289673995
-0.85,-1762.9997519610788,43.973227479124944
-0.84,-1764.1741526975106,42.79882674269311
-0.83,-1765.2788213251888,41.69415811501494
-0.82,-1766.3522637764593,40.62071566374448
-0.81,-1767.4487101709904,39.52426926921339
-0.8,-1768.6325615491467,38.340417891057086
-0.79,-1769.8968624107656,37.07611702943814
-0.78,-1771.145872275106,35.82710716509769
-0.77,-1772.2736294198455,34.699350020358224
-0.76,-1773.231419687773,33.7415597524307
-0.75,-1774.0184959916114,32.95448344859233
-0.74,-1774.7020744079878,32.27090503221598
-0.73,-1775.371593813563,31.60138562664065
-0.72,-1776.0893768754386,30.88360256476517
-0.71,-1776.8875920288378,30.0853874113659
-0.7,-1777.7706017269675,29.202377713236274
-0.69,-1778.7280225000598,28.244956940143993
-0.68,-1779.7409261528358,27.23205328736799
-0.67,-1780.7796297881182,26.193349652085544
-0.66,-1781.8135823395392,25.15939710066459
-0.65,-1782.7732701093619,24.19970933084187
-0.64,-1783.6340376340936,23.338941806110142
-0.63,-1784.398582686349,22.57439675385467
-0.62,-1785.071360528551,21.901618911652804
-0.61,-1785.6651160367428,21.307863403460942
-0.6,-1786.1472356035592,20.825743836644506
-0.59,-1786.4941552727962,20.478824167407538
-0.58,-1786.7062186350447,20.266760805159038
-0.57,-1786.8037199443086,20.169259495895176
-0.56,-1786.8426213809887,20.13035805921504
-0.55,-1786.8627412003766,20.11023823982714
-0.54,-1786.9170931473766,20.055886292827154
-0.53,-1787.06578699643,19.907192443773738
-0.52,-1787.371042482876,19.60193695732778
-0.51,-1787.8570792938676,19.115900146336116
-0.5,-1788.4427684265384,18.530211013665394
-0.49,-1789.059302985533,17.91367645467085
-0.48,-1789.6774545137089,17.295524926494863
-0.47,-1790.2999410967557,16.67303834344807
-0.46,-1790.9469282001648,16.026051240038896
-0.45,-1791.6406432842373,15.332336155966459
-0.44,-1792.3834005453616,14.589578894842134
-0.43,-1793.1435125531405,13.82946688706329
-0.42,-1793.8912924081783,13.081687032025457
-0.41,-1794.5972937663034,12.375685673900307
-0.4,-1795.2376081838438,11.73537125635994
-0.39,-1795.7931408266163,11.179838613587435
-0.38,-1796.2490301367138,10.723949303489917
-0.37,-1796.608789858696,10.364189581507844
-0.36,-1796.8648863524866,10.10809308771718
-0.35,-1797.0389598158915,9.934019624312214
-0.34,-1797.1706428227158,9.802336617487981
-0.33,-1797.286491271562,9.686488168641745
-0.32,-1797.3871959730682,9.58578346713557
-0.31,-1797.4570762710352,9.515903169168496
-0.3,-1797.4778525732136,9.495126866990176
-0.29,-1797.4303876220963,9.54259181810744
-0.28,-1797.3063378625575,9.66664157764626
-0.27,-1797.0701574421469,9.90282199805688
-0.26,-1796.7130317411302,10.259947699073564
-0.25,-1796.2459271727762,10.727052267427553
-0.24,-1795.708793253425,11.264186186778716
-0.23,-1795.203836558878,11.769142881325706
-0.22,-1795.15689401708,11.816085423123695
-0.21,-1795.2342809113327,11.738698528871055
-0.2,-1795.2529024034948,11.720077036708972
-0.19,-1795.2002214063045,11.772758033899208
-0.18,-1795.0736478066515,11.899331633552265
-0.17,-1794.877638540127,12.095340900076735
-0.16,-1794.6240323875622,12.348947052641506
-0.15,-1794.332719359307,12.640260080896724
-0.14,-1794.0051608720469,12.967818568156872
-0.13,-1793.6526016034013,13.320377836802436
-0.12,-1793.2850281214337,13.687951318770047
-0.11,-1792.9112583413967,14.061721098807084
-0.1,-1792.5426720700887,14.430307370115088
-0.09,-1792.1830998629969,14.789879577206875
-0.08,-1791.8521190535075,15.120860386696222
-0.07,-1791.5463740461446,15.426605394059152
-0.06,-1791.2735483244257,15.699431115777998
-0.05,-1791.040264937186,15.932714503017678
-0.04,-1790.8512886543683,16.121690785835426
-0.03,-1790.7109112149656,16.26206822523818
-0.02,-1790.6302657031829,16.34271373702086
-0.01,-1790.5988116313415,16.37416780886224
0.0,-1790.6162907708006,16.356688669403184
0.01,-1790.6830078141138,16.289971626089937
0.02,-1790.7993170336144,16.1736624065893
0.03,-1790.9693472938743,16.003632146329437
0.04,-1791.1917135862864,15.781265853917375
0.05,-1791.4674825188745,15.505496921329268
0.06,-1791.7990131394968,15.17396630070698
0.07,-1792.1886810851706,14.784298355033116
0.08,-1792.6467110206725,14.326268419531289
0.09,-1793.1656914296063,13.807288010597404
0.1,-1793.7453196583433,13.227659781860439
0.11,-1794.385409778434,12.587569661769749
0.12,-1795.0857016675127,11.88727777269105
0.13,-1795.8471778161322,11.125801624071528
0.14,-1796.6748306371762,10.298148803027516
0.15,-1797.577850321426,9.395129118777731
0.16,-1798.5457138941374,8.427265546066337
0.17,-1799.5335002507486,7.439479189455142
0.18,-1800.5252214179159,6.447758022287871
0.19,-1801.5037612263054,5.46921821389833
0.2,-1802.4463480305812,4.526631409622496
0.21,-1803.3353685509762,3.637610889227517
0.22,-1804.153807043694,2.819172396509657
0.23,-1804.8902398124435,2.0827396277602475
0.24,-1805.5321409834137,1.4408384567900612
0.25,-1806.0640444560859,0.9089349841178773
0.26,-1806.4772494407885,0.49572999941528906
0.27,-1806.765240429154,0.2077390110498527
0.28,-1806.9271913246125,0.04578811559122187
0.29,-1806.9729794402037,0.0
0.3,-1806.9186309740735,0.05434846613025002
0.31,-1806.762641051515,0.21033838868879684
0.32,-1806.5115866554281,0.46139278477562584
0.33,-1806.1546463761294,0.8183330640742952
0.34,-1805.6984288851638,1.274550555039923
0.35,-1805.1746545551932,1.7983248850105156
0.36,-1804.5953627911267,2.3776166490770265
0.37,-1803.986155397753,2.986824042450735
0.38,-1803.3548814483083,3.618097991895411
0.39,-1802.7185971255528,4.254382314650911
0.4,-1802.0849814891544,4.8879979510493285
0.41,-1801.466948208145,5.506031232058831
0.42,-1800.864928905641,6.108050534562835
0.43,-1800.2869133818522,6.686066058351571
0.44,-1799.732487392007,7.2404920481967565
0.45,-1799.1956632091506,7.777316231053192
0.46,-1798.6723129295142,8.300666510689553
0.47,-1798.1595146587742,8.813464781429502
0.48,-1797.6500250180088,9.322954422194925
0.49,-1797.1385383003112,9.834441139892533
0.5,-1796.6219450821272,10.351034358076504
0.51,-1796.0981258443082,10.874853595895502
0.52,-1795.9155349525333,11.05744448767041
0.53,-1795.8778288129079,11.09515062729588
0.54,-1795.8739777933024,11.099001646901343
0.55,-1795.9043632305686,11.068616209635138
0.56,-1795.9743999357588,10.998579504444933
0.57,-1796.087323617558,10.885655822645731
0.58,-1796.2434600647257,10.729519375478048
0.59,-1796.4437837473788,10.529195692824942
0.6,-1796.6820748438688,10.29090459633494
0.61,-1796.9530897765778,10.019889663625918
0.62,-1797.2514306018575,9.72154883834628
0.63,-1797.5704785190492,9.40250092115457
0.64,-1797.9027178224792,9.070261617724555
0.65,-1798.2400894528578,8.73288998734597
0.66,-1798.574944378828,8.398035061375822
0.67,-1798.9073850833765,8.065594356827205
0.68,-1799.2296865718063,7.743292868397475
0.69,-1799.541994804129,7.430984636074754
0.7,-1799.8470973393055,7.125882100898252
0.71,-1800.1502448740953,6.8227345661084655
0.72,-1800.4638130488042,6.5091663913995035
0.73,-1800.793841044187,6.179138396016697
0.74,-1801.129927764048,5.84305167615571
0.75,-1801.458325695103,5.514653745100759
0.76,-1801.7651749763913,5.207804463812408
0.77,-1802.0418628922039,4.9311165479998635
0.78,-1802.2852318891762,4.687747551027542
0.79,-1802.4864777790935,4.486501661110196
0.8,-1802.6442222115447,4.328757228659015
0.81,-1802.758781266835,4.214198173368686
0.82,-1802.8315053237857,4.141474116418067
0.83,-1802.8646638633259,4.108315576877885
0.84,-1802.8613572627614,4.111622177442314
0.85,-1802.8323340427246,4.1406453974791475
0.86,-1802.7797711934095,4.193208246794256
0.87,-1802.7104037962804,4.2625756439233555
0.88,-1802.6359702807074,4.337009159496347
0.89,-1802.5680236816675,4.404955758536289
0.9,-1802.5136143580044,4.459365082199383
0.91,-1802.4767480022795,4.49623143792428
0.92,-1802.453509240378,4.519470199825719
0.93,-1802.4206564965466,4.5523229436571455
0.94,-1802.3670711317905,4.605908308413291
0.95,-1802.2800406656606,4.692938774543109
0.96,-1802.1508437059165,4.822135734287258
0.97,-1801.978333980205,4.994645459998765
0.98,-1801.7778794402225,5.195099999981267
0.99,-1801.5527983162613,5.420181123942484
1.0,-1801.3176236583868,5.655355781816979
1.01,-1801.0851666482895,5.887812791914257
1.02,-1800.8736278748877,6.099351565316056
1.03,-1800.6963367440649,6.276642696138879
1.04,-1800.5359963642181,6.436983075985609
1.05,-1800.3735464380975,6.599433002106252
1.06,-1800.1924269299898,6.780552510213965
1.07,-1799.9856861549338,6.9872932852699705
1.08,-1799.7601227365844,7.212856703619309
1.09,-1799.5420843650766,7.430895075127182
1.1,-1799.3338715436942,7.639107896509586
1.11,-1799.1367729109331,7.836206529270612
1.12,-1798.953305197092,8.019674243111695
1.13,-1798.7840459438935,8.188933496310256
1.14,-1798.628045619539,8.344933820664664
1.15,-1798.483291924777,8.489687515426795
1.16,-1798.349299929186,8.623679511017826
1.17,-1798.2233488677475,8.749630572456226
1.18,-1798.1071487277516,8.86583071245218
1.19,-1797.9897973491948,8.983182091008985
1.2,-1797.8703172040632,9.102662236140532
1.21,-1797.7497479872607,9.223231452943082
1.22,-1797.6321399838016,9.340839456402136
1.23,-1797.5209732451838,9.452006195019976
1.24,-1797.4204871292677,9.552492310936032
1.25,-1797.3345714405823,9.63840799962145
1.26,-1797.265676079027,9.707303361176855
