beta2,Ehfb,Ehfb normalized
-1.0,-1737.38423032931,68.34098570855622
-0.99,-1738.8910585111846,66.83415752668157
-0.98,-1740.4032876520557,65.32192838581045
-0.97,-1741.9043591961845,63.82085684168169
-0.96,-1743.3783194489167,62.34689658894945
-0.95,-1744.8152262089336,60.90998982893257
-0.94,-1746.220562142202,59.504653895664205
-0.93,-1747.6087267775013,58.116489260364915
-0.92,-1748.9743962131727,56.75081982469351
-0.91,-1750.3239942133605,55.40122182450568
-0.9,-1751.6609910742068,54.0642249636594
-0.89,-1752.9869632517134,52.73825278615277
-0.88,-1754.303667552455,51.42154848541122
-0.87,-1755.6551002094066,50.07011582845962
-0.86,-1756.996518363378,48.7286976744881
-0.85,-1758.3059393582494,47.419276679616814
-0.84,-1759.565854894864,46.159361143002116
-0.83,-1760.7619896543592,44.963226383506935
-0.82,-1761.9192415129137,43.80597452495249
-0.81,-1763.1153085036876,42.60990753417855
-0.8,-1764.4064690309106,41.31874700695562
-0.79,-1765.7667263151175,39.95848972274871
-0.78,-1767.0851438541833,38.64007218368283
-0.77,-1768.2618768233297,37.46333921453652
-0.76,-1769.3342498244247,36.390966213441516
-0.75,-1770.2182588289352,35.506957208931
-0.74,-1770.9559835404907,34.76923249737547
-0.73,-1771.6552816724818,34.06993436538437
-0.72,-1772.3993131263792,33.32590291148699
-0.71,-1773.2271931411751,32.498022896691054
-0.7,-1774.1479877034526,31.577228334413576
-0.69,-1775.1519167933723,30.57329924449391
-0.68,-1776.2165393319292,29.508676705936978
-0.67,-1777.3054983026318,28.41971773523437
-0.66,-1778.3637417601158,27.361474277750403
-0.65,-1779.3366666365541,26.388549401312048
-0.64,-1780.203615954879,25.521600082987106
-0.63,-1780.9856222117705,24.739593826095643
-0.62,-1781.704207107221,24.021008930645166
-0.61,-1782.3220038708907,23.403212166975436
-0.6,-1782.8292871710069,22.89592886685932
-0.59,-1783.2003925903568,22.524823447509334
-0.58,-1783.4387648558486,22.286451182017572
-0.57,-1783.5931421023693,22.13207393549692
-0.56,-1783.678740624563,22.046475413303142
-0.55,-1783.7356852770781,21.989530760788057
-0.54,-1783.829098450265,21.89611758760111
-0.53,-1784.0245269104305,21.70068912743568
-0.52,-1784.3869906066247,21.338225431241426
-0.51,-1784.9419502654666,20.783265772399545
-0.5,-1785.595134523183,20.13008151468307
-0.49,-1786.269038897317,19.456177140549244
-0.48,-1786.9385553017887,18.786660736077465
-0.47,-1787.601849180065,18.123366857801102
-0.46,-1788.2834506485965,17.441765389269676
-0.45,-1789.0042263223427,16.7209897155235
-0.44,-1789.7657818910827,15.959434146783451
-0.43,-1790.5488386336715,15.176377404194682
-0.42,-1791.3192139755295,14.40600206233671
-0.41,-1792.0478756034108,13.677340434455346
-0.4,-1792.7114973150215,13.013718722844715
-0.39,-1793.2919576789432,12.433258358923013
-0.38,-1793.7739887324437,11.951227305422435
-0.37,-1794.1483435197988,11.576872518067375
-0.36,-1794.4189683440645,11.306247693801652
-0.35,-1794.6116493662666,11.113566671599528
-0.34,-1794.7672644975096,10.95795154035659
-0.33,-1794.9076371708004,10.817578867065777
-0.32,-1795.0312447747,10.693971263166077
-0.31,-1795.12187616471,10.603339873156074
-0.3,-1795.160374359927,10.564841677939285
-0.29,-1795.1340552683105,10.5911607695557
-0.28,-1795.0159053427892,10.709310695076965
-0.27,-1794.7855919257495,10.93962411211669
-0.26,-1794.4340932010832,11.29112283678296
-0.25,-1793.9746246629393,11.750591374926898
-0.24,-1793.4520853275446,12.273130710321539
-0.23,-1792.9914267221438,12.733789315722333
-0.22,-1793.0780043691343,12.64721166873187
-0.21,-1793.1713612560252,12.553854781840982
-0.2,-1793.201552301563,12.523663736303206
-0.19,-1793.158881844649,12.566334193217244
-0.18,-1793.0422986490616,12.682917388804526
-0.17,-1792.8571140709819,12.868101966884296
-0.16,-1792.612996794952,13.11221924291408
-0.15,-1792.3215324984762,13.403683539389931
-0.14,-1791.9944392791294,13.730776758736738
-0.13,-1791.6425708411846,14.082645196681597
-0.12,-1791.2761608948615,14.44905514300467
-0.11,-1790.9056187681108,14.819597269755377
-0.1,-1790.5354382885912,15.189777749274981
-0.09,-1790.1799003117546,15.54531572611154
-0.08,-1789.8419635259456,15.883252511920546
-0.07,-1789.5288934857049,16.19632255216129
-0.06,-1789.256995015026,16.468221022840225
-0.05,-1789.0272480408157,16.697967997050455
-0.04,-1788.845386878027,16.87982915983912
-0.03,-1788.7147547700893,17.01046126777692
-0.02,-1788.6366844267463,17.088531611119834
-0.01,-1788.611473078886,17.113742958980083
0.0,-1788.6389842369124,17.086231800953783
0.01,-1788.7190145425632,17.006201495303003
0.02,-1788.8514663479787,16.873749689887518
0.03,-1789.0364882486924,16.688727789173754
0.04,-1789.2747324488807,16.450483588985435
0.05,-1789.5675402544566,16.15767578340956
0.06,-1789.918684218354,15.806531819512202
0.07,-1790.3369817680511,15.38823426981503
0.08,-1790.8150571935837,14.910158844282478
0.09,-1791.3535907609476,14.371625276918621
0.1,-1791.952883723967,13.772332313899142
0.11,-1792.6153987736666,13.109817264199592
0.12,-1793.3418500369323,12.383366000933847
0.13,-1794.1300322803,11.595183757566247
0.14,-1794.9839224569682,10.741293580897946
0.15,-1795.928135099965,9.797080937901228
0.16,-1796.9426553245703,8.78256071329588
0.17,-1797.9691982479999,7.756017789866291
0.18,-1798.9997500736022,6.725465964264004
0.19,-1800.0099653327538,5.715250705112339
0.2,-1800.9824888120613,4.742727225804856
0.21,-1801.8995365384112,3.8256794994549637
0.22,-1802.7510569057317,2.974159132134446
0.23,-1803.5168115824918,2.2084044553744206
0.24,-1804.1821798800283,1.5430361578378324
0.25,-1804.735775069555,0.9894409683111007
0.26,-1805.1725977300748,0.5526183077913629
0.27,-1805.4882252163354,0.23699082153075324
0.28,-1805.6731731882587,0.052042849607460084
0.29,-1805.7252160378662,0.0
0.3,-1805.6440869124249,0.08112912544129358
0.31,-1805.432904079655,0.29231195821125766
0.32,-1805.210254800929,0.514961236937097
0.33,-1804.8755830180864,0.8496330197797306
0.34,-1804.4416488457443,1.2835671921218363
0.35,-1803.9296837351644,1.7955323027017585
0.36,-1803.3627284754139,2.3624875624523156
0.37,-1802.756374743732,2.9688412941341085
0.38,-1802.1246906016395,3.6005254362266896
0.39,-1801.4921477222679,4.233068315598302
0.4,-1800.86048635819,4.864729679676202
