beta2,Ehfb,Ehfb normalized
-1.0,-1742.9055758556092,64.11315254842634
-0.99,-1744.2810018315627,62.737726572472866
-0.98,-1745.672140027667,61.34658837636857
-0.97,-1747.065049855552,59.953678548483595
-0.96,-1748.4540092896536,58.56471911438189
-0.95,-1749.838080653194,57.180647750841445
-0.94,-1751.1992180345462,55.81951036948931
-0.93,-1752.539906033527,54.478822370508624
-0.92,-1753.864195265075,53.15453313896046
-0.91,-1755.1746413861003,51.84408701793518
-0.9,-1756.4728716773784,50.54585672665712
-0.89,-1757.7567092960658,49.26201910796976
-0.88,-1759.0568545505312,47.96187385350436
-0.87,-1760.3508194469805,46.66790895705503
-0.86,-1761.625745246813,45.39298315722249
-0.85,-1762.8614232915459,44.15730511248967
-0.84,-1764.0478981724534,42.97083023158211
-0.83,-1765.162215048169,41.85651335586658
-0.82,-1766.2274589773976,40.79126942663788
-0.81,-1767.321312443559,39.69741596047652
-0.8,-1768.5050205041657,38.513707899869814
-0.79,-1769.7727968686447,37.24593153539081
-0.78,-1771.0287050520647,35.990023351970876
-0.77,-1772.1616307094805,34.85709769455502
-0.76,-1773.1265630936891,33.8921653103464
-0.75,-1773.9199084462061,33.09881995782939
-0.74,-1774.596594432001,32.422133972034544
-0.73,-1775.2516414766526,31.767086927382934
-0.72,-1775.9783314331835,31.040396970852044
-0.71,-1776.7872364932769,30.231491910758677
-0.7,-1777.6810722549815,29.337656149054055
-0.69,-1778.6490125502512,28.369715853784328
-0.68,-1779.6721703724593,27.34655803157625
-0.67,-1780.7190643552576,26.299664048777913
-0.66,-1781.7378570945689,25.280871309466647
-0.65,-1782.6892449745967,24.329483429438824
-0.64,-1783.5582233484242,23.460505055611293
-0.63,-1784.3292089118818,22.68951949215375
-0.62,-1785.007040158278,22.01168824575757
-0.61,-1785.5838169643598,21.434911439675716
-0.6,-1786.044414014855,20.974314389180563
-0.59,-1786.3996587497695,20.619069654266013
-0.58,-1786.6173271557948,20.401401248240745
-0.57,-1786.7222156460698,20.29651275796573
-0.56,-1786.7523897128417,20.266338691193823
-0.55,-1786.761702473715,20.257025930320424
-0.54,-1786.8100539531072,20.208674450928356
-0.53,-1786.9618027714819,20.056925632553657
-0.52,-1787.2789137903683,19.73981461366725
-0.51,-1787.7755483353708,19.243180068664742
-0.5,-1788.367843148224,18.650885255811545
-0.49,-1788.9915586984375,18.027169705598
-0.48,-1789.6165155754056,17.4022128286299
-0.47,-1790.2456266682723,16.773101735763248
-0.46,-1790.8993344850082,16.11939391902729
-0.45,-1791.5942957841744,15.424432619861136
-0.44,-1792.3276924018128,14.691036002222745
-0.43,-1793.078794888641,13.939933515394614
-0.42,-1793.8233762373056,13.19535216672989
-0.41,-1794.5381752730234,12.48055313101213
-0.4,-1795.186802777262,11.831925626773454
-0.39,-1795.7502542296952,11.268474174340326
-0.38,-1796.2134702277272,10.80525817630837
-0.37,-1796.5677802870523,10.450948116983227
-0.36,-1796.8178808988916,10.200847505143884
-0.35,-1796.9875801612832,10.031148242752352
-0.34,-1797.1157720561828,9.90295634785275
-0.33,-1797.2410179674218,9.777710436613688
-0.32,-1797.3497413308785,9.66898707315704
-0.31,-1797.4275106122495,9.591217791785994
-0.3,-1797.455983734623,9.562744669412496
-0.29,-1797.4158837014227,9.602844702612856
-0.28,-1797.2854176066662,9.733310797369313
-0.27,-1797.0432697784822,9.975458625553301
-0.26,-1796.67943322419,10.339295179845521
-0.25,-1796.2059827453768,10.812745658658741
-0.24,-1795.6780614132354,11.340666990800173
-0.23,-1795.176697903155,11.842030500880583
-0.22,-1795.0152838815034,12.003444522532163
-0.21,-1795.060530424606,11.958197979429542
-0.2,-1795.095535984619,11.923192419416637
-0.19,-1795.056799576283,11.961928827752445
-0.18,-1794.9322266833274,12.086501720708156
-0.17,-1794.7254703688536,12.293258035181907
-0.16,-1794.4474013969486,12.571327007086893
-0.15,-1794.1118412829674,12.906887121068166
-0.14,-1793.7338013943115,13.284927009724015
-0.13,-1793.3440736892899,13.674654714745657
-0.12,-1792.9412730440345,14.077455360001068
-0.11,-1792.5376602594547,14.481068144580831
-0.1,-1792.1422303591207,14.876498044914797
-0.09,-1791.7641015647816,15.254626839253888
-0.08,-1791.410368370794,15.608360033241524
-0.07,-1791.0892886979323,15.929439706103267
-0.06,-1790.8152954501088,16.203432953926722
-0.05,-1790.578211944724,16.44051645931154
-0.04,-1790.380378984939,16.638349419096585
-0.03,-1790.2235979833565,16.795130420679016
-0.02,-1790.1096605612502,16.909067842785362
-0.01,-1790.040582207003,16.97814619703263
0.0,-1790.0188650109358,16.99986339309976
0.01,-1790.047608691772,16.971119712263544
0.02,-1790.1322687342793,16.886459669756277
0.03,-1790.2841268837228,16.734601520312708
0.04,-1790.499307496484,16.51942090755142
0.05,-1790.78325222184,16.235476182195498
0.06,-1791.1407297384744,15.877998665561108
0.07,-1791.5746188180474,15.444109585988144
0.08,-1792.085512449451,14.933215954584512
0.09,-1792.6723467388997,14.346381665135823
0.1,-1793.332898972837,13.6858294311985
0.11,-1794.0624423363795,12.956286067656038
0.12,-1794.860894620378,12.157833783657452
0.13,-1795.7182498868651,11.300478517170404
0.14,-1796.626097088027,10.39263131600842
0.15,-1797.5797086733269,9.439019730708651
0.16,-1798.5626605383968,8.456067865638715
0.17,-1799.5594719435803,7.459256460455208
0.18,-1800.5586210861522,6.460107317883285
0.19,-1801.5393315529336,5.47939685110191
0.2,-1802.4846762002096,4.534052203825922
0.21,-1803.377011227039,3.641717176996508
0.22,-1804.199398902018,2.819329502017581
0.23,-1804.9363454347656,2.082382969269929
0.24,-1805.5744305492021,1.444297854833394
0.25,-1806.1058376944752,0.9128907095603154
0.26,-1806.5217855612889,0.49694284274664824
0.27,-1806.8134553296695,0.20527307436600495
0.28,-1806.978202845883,0.040525558152467056
0.29,-1807.0187284040355,0.0
0.3,-1806.9282905384364,0.09043786559914224
0.31,-1806.7089847762022,0.30974362783331344
0.32,-1806.3663519116844,0.6523764923510953
0.33,-1805.9127753016478,1.1059531023877298
0.34,-1805.3759834903763,1.6427449136592713
0.35,-1804.7836035217674,2.23512488226811
0.36,-1804.1513157627728,2.8674126412627174
0.37,-1803.4871071690595,3.531621234976001
0.38,-1802.7960820372123,4.2226463668232554
0.39,-1802.0885975621532,4.930130841882374
0.4,-1801.3671724969688,5.651555907066722
0.41,-1800.641900009583,6.376828394452559
0.42,-1799.9228256264896,7.095902777545916
0.43,-1799.2186949843283,7.800033419707233
0.44,-1798.5395095660829,8.479218837952658
0.45,-1797.900922451083,9.117805952952494
0.46,-1797.3104602668514,9.708268137184177
0.47,-1796.7841212330293,10.234607171006246
0.48,-1796.389662796862,10.629065607173516
0.49,-1796.2127173279605,10.806011076075038
0.5,-1796.0942074214754,10.924520982560125
0.51,-1796.0091963919763,11.009532012059253
0.52,-1795.9501770224333,11.06855138160222
0.53,-1795.9171526979133,11.101575706122276
0.54,-1795.9141094374177,11.104618966617863
0.55,-1795.9466576489772,11.072070755058348
0.56,-1796.0208848706325,10.997843533403056
0.57,-1796.1388986221727,10.879829781862782
0.58,-1796.3000726194443,10.718655784591192
0.59,-1796.5019682469062,10.516760157129283
0.6,-1796.7411803656232,10.277548038412306
0.61,-1797.013286843781,10.00544156025444
0.62,-1797.3130335012997,9.705694902735786
0.63,-1797.6332248971264,9.385503506909117
0.64,-1797.9687304490992,9.049997954936316
0.65,-1798.3098523230647,8.708876080970867
0.66,-1798.6493038705537,8.369424533481833
0.67,-1798.9813993179282,8.03732908610732
0.68,-1799.3024518495981,7.7162765544374
0.69,-1799.6157231910079,7.4030052130276545
0.7,-1799.9230604584945,7.095667945540981
0.71,-1800.230390683434,6.788337720601476
0.72,-1800.5456332390684,6.473095164967162
0.73,-1800.874262897325,6.144465506710503
0.74,-1801.2119631641226,5.80676523991292
0.75,-1801.544671657804,5.474056746231554
0.76,-1801.8576515626664,5.161076841369095
0.77,-1802.1397482506568,4.878980153378734
0.78,-1802.384006250445,4.634722153590474
0.79,-1802.5867376590081,4.431990745027406
0.8,-1802.7465463483152,4.27218205572035
0.81,-1802.8636131444564,4.155115259579134
0.82,-1802.939367245393,4.079361158642541
0.83,-1802.978910290862,4.039818113173624
0.84,-1802.9838538958193,4.034874508216262
0.85,-1802.957519319798,4.061209084237589
0.86,-1802.9058275414072,4.112900862628294
0.87,-1802.8373414733596,4.181386930675899
0.88,-1802.7663670493441,4.252361354691402
0.89,-1802.7059722954964,4.3127561085391335
0.9,-1802.6608565858141,4.357871818221383
0.91,-1802.6294452163168,4.389283187718775
0.92,-1802.6036265569005,4.41510184713502
0.93,-1802.5715925531622,4.447135850873337
0.94,-1802.5208889506512,4.497839453384358
0.95,-1802.4405509178255,4.578177486210052
0.96,-1802.319399599013,4.69932880502256
0.97,-1802.1561337804624,4.862594623573159
0.98,-1801.9570981015795,5.061630302456024
0.99,-1801.734129510257,5.284598893778593
1.0,-1801.502032089477,5.5166963145584305
1.01,-1801.2762767820825,5.742451621953023
1.02,-1801.0691198484842,5.949608555551322
1.03,-1800.8854378421836,6.133290561851936
1.04,-1800.7242180247044,6.294510379331086
1.05,-1800.5659571334245,6.452771270611038
1.06,-1800.3923717822893,6.626356621746254
1.07,-1800.1949092642408,6.82381913979475
1.08,-1799.9776276618095,7.041100742226035
1.09,-1799.7506504548005,7.268077949235021
1.1,-1799.5223738460388,7.49635455799671
1.11,-1799.3022450845947,7.71648331944084
1.12,-1799.0950185875395,7.923709816496057
1.13,-1798.8992148175157,8.119513586519815
1.14,-1798.7114053277708,8.307323076264765
1.15,-1798.5249822220633,8.493746181972256
1.16,-1798.3257060947753,8.693022309260186
1.17,-1798.106375037396,8.912353366639536
1.18,-1797.8636602688289,9.155068135206648
1.19,-1797.5983535893906,9.420374814644902
1.2,-1797.3141878614126,9.704540542622908
1.21,-1797.0164822346526,10.002246169382943
1.22,-1796.7141019696714,10.304626434364081
1.23,-1796.410159768378,10.608568635657548
1.24,-1796.1073012668394,10.911427137196142
1.25,-1795.8085900961032,11.210138307932311
1.26,-1795.516279126895,11.502449277140613
1.27,-1795.2317755599724,11.78695284406308
1.28,-1794.9559775828718,12.062750821163718
1.29,-1794.6894397989759,12.329288605059674
1.3,-1794.4327611581434,12.585967245892107
1.31,-1794.1867792145438,12.831949189491752
1.32,-1794.0723657178523,12.946362686183193
1.33,-1793.9805590814362,13.038169322599288
1.34,-1793.8985544625143,13.120173941521216
1.35,-1793.8178190704566,13.20090933357892
1.36,-1793.7401273602159,13.278601043819663
1.37,-1793.665156848826,13.353571555209555
1.38,-1793.5925568762455,13.426171527790075
1.39,-1793.5220466357105,13.496681768325061
1.4,-1793.4533441961992,13.56538420783636
1.41,-1793.3862600085808,13.63246839545468
1.42,-1793.320536989279,13.698191414756593
1.43,-1793.255995350978,13.762733053057445
1.44,-1793.192484265001,13.826244139034543
1.45,-1793.1298717600193,13.888856644016187
1.46,-1793.0680021885887,13.95072621544682
1.47,-1793.008805216226,14.00992318780959
1.48,-1792.9527366990364,14.065991704999078
1.49,-1792.8973994612,14.12132894283559
1.5,-1792.8427512826145,14.175977121421056
1.51,-1792.7887844815734,14.229943922462098
1.52,-1792.7355054186394,14.28322298539615
1.53,-1792.6830163547315,14.335712049303993
1.54,-1792.6312693768277,14.387459027207797
1.55,-1792.5803741769732,14.438354227062291
1.56,-1792.530394728352,14.488333675683634
1.57,-1792.481496695437,14.537231708598483
1.58,-1792.4338280532133,14.584900350822181
